iron tawa/pan/nail | is | left
you | will learn In | later chapter
you | will learn about | transport of food absorbed
you | will learn about | transport of food absorbed to parts of body
you | will learn about | transport of food absorbed by intestine
you | will learn about | transport
you | will learn about | transport of food absorbed to various parts
you | will learn In | chapter
you | will learn about | transport of food absorbed by intestine to various parts
its utilisation | is in | body
Molar Permanent teeth Oesophagus Pancreas Premolar Pseudopodia Rumen Ruminant Rumination glands | includes | nutrient requirement
Molar Permanent teeth Oesophagus Pancreas Premolar Pseudopodia Rumen Ruminant Rumination Salivary glands | includes | nutrient requirement
system | consists of | alimentary canal
human digestive system | consists of | alimentary canal
digestive system | consists of | alimentary canal
digestive system | consists of | canal
system | consists of | canal
human system | consists of | alimentary canal
human system | consists of | canal
human digestive system | consists of | canal
It | consists of | intestine
It | consists of | small intestine
It | consists of | oesophagus stomach
It | consists of | cavity
stomach wall | also secrete | wall
stomach wall | secrete | wall of intestine
stomach wall | secrete | wall
stomach wall | secrete | juices
stomach wall | secrete | digestive juices
stomach wall | also secrete | wall of intestine
stomach wall | also secrete | juices
stomach wall | also secrete | digestive juices
stomach wall | secrete | wall of small intestine
stomach wall | also secrete | wall of small intestine
modes | vary in | organisms
modes | vary in | different organisms
Nutrition | is | complex
Nutrition | is | process
Nutrition | is | complex process
Nutrition | is | complex process involving
Nutrition | is | process involving
NUTRITION | is IN | ANIMALS
digestion | starts in | stomach
bile | juice from | pancreas
bile | secreted from | liver
digested food | is | absorbed
food | is absorbed in | blood vessels
digested food | is absorbed in | blood vessels
food | is absorbed in | blood vessels from intestine
food | is absorbed in | blood vessels from small intestine
digested food | is absorbed in | blood vessels from small intestine
food | is | absorbed
digested food | is absorbed in | blood vessels from intestine
absorbed substances | are transported to | different parts
substances | are transported to | parts of body
substances | are transported to | parts
absorbed substances | are transported to | different parts of body
absorbed substances | are transported to | parts of body
absorbed substances | are | transported
substances | are transported to | different parts
substances | are transported to | different parts of body
substances | are | transported
absorbed substances | are transported to | parts
undigested food | is in | large intestine
Water | are | absorbed
Water | are absorbed from | food in intestine
Water | are absorbed from | undigested food in large intestine
Water | are absorbed from | undigested food in intestine
Water | absorbed | salts
Water | are absorbed from | food in large intestine
Water | are absorbed from | undigested food
Water | are absorbed from | food
undigested residues | are expelled as | faeces
residues | are expelled out of | body
residues | are expelled as | faeces through anus
undigested residues | are expelled as | faeces through anus
undigested residues | are | expelled
residues | are | expelled
residues | are expelled as | faeces
undigested residues | are expelled out of | body
grazing animals | are | known
grazing animals | are known as | ruminants
They | swallow | their leafy food
They | swallow | their food
They | store | it
store | is in | rumen
Amoeba | ingests | its food
food | is digested in | food vacuole
food | is | digested
main steps | is in | humans
largest gland | is in | human body
stomach | releases acid | which act on food
stomach | releases acid | which act
Amoeba | digests | its food
Digestion | starts in | stomach
tongue | mixing food with | saliva
tongue | mixing | food
ruminants | chew | it
Fat | mark | answer
Fat | mark answer in | each of following
digested | is | absorbed
Fat | mark answer in | each following
Fat | mark | correct answer
digestion 5 | of Product is | s
their location | What | function
bile | is | produced
bile | is | Where produced
we | do get | energy from glucose
we | do get | instant energy from glucose
we | do get | instant energy
we | do get | energy
nutrition | is in | amoeba
Release | is IN | ANIMALS 21 2018-19 12
Salivary gland Column II Bile juice secretion Stomach Storage Saliva secretion Rectum Acid release | is in | Column II Column I
we | Can survive on | leafy vegetables/grass
we | Can survive on | raw leafy vegetables/grass
we | Can survive on | only vegetables/grass
we | Can survive on | only leafy vegetables/grass
we | Can survive on | only raw leafy vegetables/grass
we | Can survive on | vegetables/grass
we | Can survive on | raw vegetables/grass
we | Can survive on | only raw vegetables/grass
patient | be on | drip of glucose
patient | be on | drip
patient | be given | glucose
answers | is in | your notebook
You | may take | help
doctor | of teacher is | your
You | may take | help of doctor
Collect data | know | more about milk teeth
Collect data | know | about milk teeth
data | know | about milk teeth
data | know | more about milk teeth
last tooth | fell | No
first tooth | fell | Age
tooth | fell | Age
tooth | fell | No
teeth | lost | No
teeth | replaced | 1
children | lose | milk teeth
You | may take | help
You | may take | help of your friends
Fats | are | much simpler
Fats | is in | goat 's milk
goat | in | milk
cow | in | milk
Fats | are much simpler than | those
Fats | are simpler than | those in cow 's milk
Fats | are much simpler than | those in cow 's milk
Fats | are | simpler
Fats | are simpler than | those
cow | than | milk
goat 's milk | is | Therefore easier
goat | has | milk
goat 's milk | digest than | cow 's milk
goat 's milk | is | Therefore much easier
goat 's milk | is | easier
goat 's milk | is | much easier
NUTRITION | is IN | ANIMALS
wool fibres | are obtained from | animals
wool fibres | are | obtained
Wool | is obtained from | fleece of sheep
Wool | is obtained from | hair
Wool | is obtained from | fleece
Wool | is | obtained
sheep | of fleece is | hair
Silk fibres | come from | cocoons of silk moth
Silk fibres | come from | cocoons
sheep | of | body yields
we | buy from | market to sweaters
we | buy from | market to knit sweaters
you | Are | aware
we | buy from | market
we | find | answers
hair | provide | fibres
fine hair | provide | fibres
breeds | possess | fine under-hair
breeds | possess | only fine under-hair
breeds | possess | under-hair
